Date,Price,Open,High,Low,Vol.,Change %
12/4/2023,1360.380462,971.42,"1,012.50","1,471.57",1.08M,1.58%
12/5/2023,1367.072767,957.4,"1,008.87","1,471.30",876.73K,-1.16%
12/6/2023,1385.388656,952.51,"1,015.86","1,482.05",763.96K,4.22%
12/7/2023,1349.979398,969,"1,020.35","1,443.32",1.10M,1.26%
12/8/2023,1329.802524,962.38,"1,025.17","1,400.87",1.04M,-4.11%
12/11/2023,1343.874654,963.91,"1,030.41","1,413.58",755.91K,-0.73%
12/12/2023,1367.88362,965.92,"1,032.58","1,446.77",771.03K,0.91%
12/13/2023,1378.990451,960.59,"1,039.55","1,446.88",665.46K,0.12%
12/14/2023,1391.562235,963.39,"1,044.10","1,461.78",798.29K,-1.88%
12/15/2023,1390.199357,969.43,"1,045.96","1,463.54",865.58K,1.49%
12/18/2023,1414.27902,966,"1,064.09","1,469.21",964.11K,0.28%
12/19/2023,1419.575239,962.49,"1,067.45","1,468.21",906.08K,0.47%
12/20/2023,1427.215417,951.52,"1,066.99","1,468.95",927.54K,-0.27%
12/21/2023,1431.452564,950.61,"1,065.85","1,476.61",1.11M,-1.34%
12/22/2023,1427.18726,953.55,"1,068.56","1,468.88",963.35K,-1.47%
12/25/2023,1438.689702,959.55,"1,081.60","1,472.43",902.84K,-0.42%
12/26/2023,1440.390515,959.43,"1,084.23","1,471.84",1.07M,0.37%
12/27/2023,1432.718388,958.18,"1,094.09","1,447.14",1.36M,-0.22%
12/28/2023,1429.790059,960.67,"1,084.76","1,456.32",889.48K,-3.44%
12/29/2023,1441.548526,957.7,"1,084.42","1,469.91",752.11K,1.97%
1/2/2024,1458.567845,962.89,"1,096.11","1,483.97",1.00M,1.10%
1/3/2024,1465.098786,965.71,"1,102.79","1,485.82",843.88K,-0.63%
1/4/2024,1474.55047,960.26,"1,108.83","1,484.82",747.86K,-0.22%
1/5/2024,1465.52116,968.72,"1,105.33","1,485.97",875.73K,3.66%
1/8/2024,1505.511904,962.79,"1,126.43","1,507.19",891.30K,0.23%
1/9/2024,1528.538267,955.79,"1,134.45","1,522.50",1.06M,0.91%
1/10/2024,1544.737696,954.13,"1,152.85","1,518.18",1.13M,-0.41%
1/11/2024,1553.662159,953.86,"1,156.49","1,524.96",1.03M,0.26%
1/12/2024,1552.165918,961.17,"1,176.33","1,503.71",1.38M,-0.08%
1/15/2024,1547.958214,966.89,"1,186.45","1,488.40",1.25M,0.23%
1/16/2024,1537.836104,966.26,"1,192.28","1,464.49",1.13M,0.06%
1/17/2024,1567.326262,967.69,"1,200.82","1,495.13",995.82K,0.36%
1/18/2024,1545.176948,967.2,"1,190.50","1,476.68",785.61K,0.61%
1/19/2024,1528.603524,976.28,"1,197.74","1,452.84",987.10K,2.03%
1/22/2024,1511.416941,978.23,"1,200.85","1,424.65",739.29K,0.92%
1/23/2024,1507.357727,978.82,"1,189.91","1,434.46",637.63K,0.89%
1/24/2024,1452.920011,986.52,"1,142.48","1,432.58",785.76K,0.81%
1/25/2024,1503.800237,975.15,"1,164.21","1,463.06",811.35K,-1.30%
1/26/2024,1504.383142,959.58,"1,175.72","1,432.18",828.13K,0.78%
1/29/2024,1525.625423,916.6,"1,172.18","1,424.36",751.39K,-3.17%
1/30/2024,1547.235192,929.42,"1,164.97","1,478.41",813.18K,0.15%
1/31/2024,1502.472391,934.75,"1,132.99","1,464.06",564.60K,-0.04%
2/1/2024,1427.966046,926.66,"1,052.16","1,465.22",702.68K,1.13%
2/2/2024,1453.559357,938.61,"1,076.11","1,478.96",578.17K,-2.15%
2/5/2024,1463.378878,934.38,"1,074.52","1,491.78",734.76K,0.60%
2/6/2024,1472.161985,930.73,"1,075.53","1,499.53",794.74K,-0.76%
2/7/2024,1500.451651,940.72,"1,113.24","1,495.70",680.25K,-0.82%
2/15/2024,1510.048189,937.19,"1,117.88","1,499.06",636.28K,-1.10%
2/16/2024,1497.940163,939.28,"1,126.91","1,471.96",810.72K,-0.48%
2/19/2024,1498.003534,938.52,"1,127.06","1,470.06",606.42K,0.92%
2/20/2024,1500.083644,934.47,"1,114.93","1,486.68",702.52K,0.96%
2/21/2024,1550.490826,926.41,"1,155.78","1,492.10",615.79K,0.10%
2/22/2024,1563.840331,933.69,"1,174.38","1,492.38",697.55K,2.58%
2/23/2024,1570.225725,938.13,"1,178.18","1,500.97",791.92K,-0.41%
2/26/2024,1577.342745,917.49,"1,182.67","1,484.81",908.05K,-2.58%
2/27/2024,1609.261647,893.95,"1,184.32","1,503.47",694.65K,-0.06%
2/28/2024,1582.746011,901.51,"1,185.58","1,473.76",1.16M,-1.34%
2/29/2024,1589.919452,892.15,"1,169.97","1,494.85",768.01K,-1.76%
3/1/2024,1588.916006,885.47,"1,169.28","1,487.57",729.79K,0.34%
3/4/2024,1612.693838,878.43,"1,186.82","1,490.13",842.43K,1.55%
3/5/2024,1602.383179,895.39,"1,196.16","1,479.55",941.55K,-0.28%
3/6/2024,1604.929289,887.85,"1,189.18","1,485.52",929.21K,-1.24%
3/7/2024,1615.390522,892.71,"1,191.90","1,501.39",928.92K,0.24%
3/8/2024,1590.298089,888.96,"1,169.56","1,493.87",981.72K,1.04%
3/11/2024,1596.759746,875.8,"1,181.25","1,473.71",1.04M,1.09%
3/12/2024,1617.956904,813.83,"1,166.42","1,462.80",930.30K,0.65%
3/13/2024,1610.059813,843.52,"1,170.59","1,473.74",649.94K,-0.28%
3/14/2024,1657.58026,778.06,"1,183.73","1,458.88",878.19K,-0.02%
3/15/2024,1665.789436,750.56,"1,186.52","1,439.19",858.57K,-1.20%
3/18/2024,1659.239707,758.28,"1,186.06","1,437.27",675.63K,2.12%
3/19/2024,1693.006362,724.07,"1,184.91","1,452.74",624.22K,-1.39%
3/20/2024,1682.069556,747.4,"1,186.09","1,459.14",717.44K,-0.22%
3/21/2024,1708.625637,732.35,"1,200.94","1,461.34",795.73K,-2.11%
3/22/2024,1719.180926,728.55,"1,199.67","1,474.38",792.16K,0.91%
3/25/2024,1757.184119,694.77,"1,200.21","1,494.95",947.70K,0.79%
3/26/2024,1773.166254,666.59,"1,191.47","1,501.67",861.13K,0.44%
3/27/2024,1749.470113,669.76,"1,174.20","1,495.18",784.91K,0.16%
3/28/2024,1732.234578,689,"1,170.76","1,494.55",768.94K,0.52%
3/29/2024,1709.15923,692.54,"1,165.76","1,473.80",1.07M,0.19%
4/1/2024,1746.854401,663.91,"1,175.77","1,483.18",737.94K,0.19%
4/2/2024,1754.187768,669.74,"1,187.29","1,483.90",901.49K,0.29%
4/3/2024,1774.771783,658.8,"1,196.45","1,488.27",684.54K,0.49%
4/4/2024,1771.272505,687.92,"1,217.26","1,484.13",967.67K,1.38%
4/5/2024,1785.85601,716.22,"1,228.29","1,516.44",779.58K,-0.08%
4/8/2024,1784.974232,744.97,"1,245.28","1,519.28",703.53K,0.22%
4/9/2024,1778.74188,740.03,"1,244.63","1,507.62",944.04K,-0.92%
4/10/2024,1765.614714,751.08,"1,242.38","1,502.35",795.13K,-0.11%
4/11/2024,1749.858,759.08,"1,246.40","1,482.00",763.56K,-0.41%
4/12/2024,1717.270577,762.99,"1,234.98","1,455.25",680.06K,0.39%
4/15/2024,1725.757842,769.01,"1,252.45","1,448.52",674.79K,0.00%
4/16/2024,1758.772875,768.05,"1,268.02","1,471.75",523.37K,-0.48%
4/17/2024,1731.881988,773.11,"1,255.87","1,456.39",659.47K,-1.07%
4/19/2024,1709.593398,786.96,"1,265.87","1,425.07",827.69K,0.09%
4/22/2024,1679.322693,796.17,"1,254.61","1,406.45",702.35K,0.11%
4/23/2024,1670.895978,794.97,"1,260.58","1,384.72",688.33K,-0.57%
4/24/2024,1705.759699,752.8,"1,286.32","1,356.58",810.67K,0.03%
4/25/2024,1677.237165,768.92,"1,271.98","1,352.43",834.41K,-0.60%
4/26/2024,1610.35657,777.28,"1,248.53","1,298.38",762.88K,-0.15%
5/2/2024,1584.872285,780.65,"1,251.25","1,261.40",727.65K,-0.63%
5/3/2024,1598.066772,773.31,"1,220.96","1,314.81",519.56K,0.57%
5/6/2024,1631.9535,768.59,"1,230.91","1,344.10",485.12K,-0.11%
5/7/2024,1641.104426,766.14,"1,239.39","1,343.24",598.40K,0.91%
5/8/2024,1650.602925,763.22,"1,242.80","1,348.68",528.29K,-0.81%
5/9/2024,1658.650487,767.3,"1,265.93","1,331.41",531.08K,-0.03%
5/10/2024,1639.405301,785.08,"1,261.49","1,328.13",564.07K,1.26%
5/13/2024,1573.497508,800.32,"1,250.50","1,265.54",673.76K,0.03%
5/14/2024,1546.90078,818.26,"1,259.58","1,232.57",665.48K,0.43%
5/15/2024,1586.217701,827.29,"1,272.55","1,277.91",418.23K,-0.11%
5/16/2024,1548.692196,835.32,"1,269.09","1,238.05",557.89K,0.93%
5/17/2024,1514.86026,830.97,"1,273.49","1,180.60",816.99K,-0.11%
5/20/2024,1503.513055,835.42,"1,388.55","1,170.59",584.39K,0.02%
5/21/2024,1505.534897,827.49,"1,388.55","1,156.54",583.96K,-0.51%
5/22/2024,1519.463153,852.14,"1,374.68","1,222.92",566.36K,0.74%
5/23/2024,1517.621761,843.26,"1,347.14","1,210.43",496.73K,-0.12%
5/24/2024,1540.271036,854.93,"1,307.73","1,232.33",504.69K,0.33%
5/27/2024,1530.716917,859.29,"1,305.37","1,207.99",557.43K,-0.45%
5/28/2024,1542.723298,852.9,"1,299.18","1,203.28",528.48K,-0.38%
5/29/2024,1566.144886,861.47,"1,304.37","1,233.38",655.24K,0.27%
5/30/2024,1589.65991,869.13,"1,299.31","1,261.55",541.91K,-0.08%
5/31/2024,1603.808076,858.97,"1,273.29","1,268.57",607.22K,1.05%
6/3/2024,1614.372578,861.59,"1,284.33","1,281.27",587.23K,0.29%
6/4/2024,1613.565579,868.97,"1,294.16","1,280.44",591.09K,-0.27%
6/5/2024,1628.590061,879.23,"1,295.63","1,286.01",573.63K,0.30%
6/6/2024,1627.095321,876.73,"1,277.33","1,283.32",572.55K,1.15%
6/7/2024,1638.963218,883.22,"1,288.35","1,276.37",473.81K,0.64%
6/10/2024,1650.362892,883.4,"1,281.17","1,281.95",589.89K,0.96%
6/11/2024,1633.297218,888.7,"1,293.60","1,260.92",670.87K,0.11%
6/12/2024,1634.293967,902.26,"1,311.97","1,291.35",584.57K,-0.74%
6/13/2024,1618.579756,898.78,"1,322.35","1,300.85",465.66K,0.56%
6/14/2024,1602.715796,900.48,"1,332.44","1,284.08",603.29K,0.77%
6/17/2024,1618.084816,841.85,"1,340.76","1,226.01",733.45K,0.58%
6/18/2024,1606.323261,867.52,"1,368.53","1,211.13",560.89K,-0.45%
6/19/2024,1611.875613,848.86,"1,372.72","1,195.19",688.12K,-0.04%
6/20/2024,1614.403736,861.05,"1,370.14","1,213.93",561.69K,-0.16%
6/21/2024,1599.830367,850.92,"1,364.55","1,191.92",738.58K,-0.88%
6/24/2024,1600.367731,857.77,"1,377.77","1,180.40",669.55K,0.57%
6/25/2024,1582.350509,871.56,"1,381.74","1,162.94",694.93K,0.61%
6/26/2024,1587.267192,871.12,"1,385.98","1,162.98",592.48K,0.61%
6/27/2024,1591.531382,868.2,"1,388.33","1,162.06",440.78K,0.36%
6/28/2024,1616.175893,851.09,"1,384.71","1,185.48",478.69K,0.23%
7/1/2024,1615.825069,859.07,"1,390.12","1,185.48",526.96K,0.20%
7/2/2024,1649.864133,846.26,"1,406.02","1,198.99",588.39K,0.35%
7/3/2024,1672.784316,836.72,"1,416.34","1,207.38",560.59K,-1.14%
7/4/2024,1675.664661,827.67,"1,419.61","1,197.60",510.22K,-0.46%
7/5/2024,1641.987074,845.66,"1,417.27","1,170.95",534.07K,0.47%
7/8/2024,1664.788721,845.26,"1,424.28","1,192.63",442.82K,0.58%
7/9/2024,1649.151194,851.47,"1,421.52","1,181.29",612.00K,0.23%
7/10/2024,1613.43224,865.46,"1,418.99","1,147.63",556.46K,-0.74%
7/11/2024,1582.829487,861.75,"1,388.55","1,142.80",411.79K,1.05%
7/12/2024,1593.525806,867.66,"1,388.55","1,164.23",476.37K,0.96%
7/15/2024,1561.46451,873.7,"1,374.68","1,144.55",538.71K,0.24%
7/16/2024,1539.608273,874.85,"1,347.14","1,153.55",525.11K,0.21%
7/17/2024,1519.293837,865.01,"1,307.73","1,170.92",564.00K,0.97%
7/18/2024,1510.993693,872.8,"1,305.37","1,170.04",534.74K,0.26%
7/19/2024,1510.951103,871.81,"1,299.18","1,178.12",604.01K,0.40%
7/22/2024,1512.834195,873.48,"1,304.37","1,174.70",523.73K,0.08%
7/23/2024,1505.72299,870.66,"1,299.31","1,168.99",532.69K,-0.09%
7/24/2024,1490.657079,863.94,"1,273.29","1,178.33",648.00K,-0.01%
7/25/2024,1513.958986,862.8,"1,284.33","1,194.14",530.31K,1.12%
7/26/2024,1529.863783,854.92,"1,294.16","1,194.76",477.95K,0.41%
7/29/2024,1524.619447,854.23,"1,295.63","1,184.32",437.85K,0.44%
7/30/2024,1548.419759,794.14,"1,277.33","1,184.44",434.80K,0.41%
7/31/2024,1560.418332,786.72,"1,288.35","1,178.58",445.14K,-0.29%
8/1/2024,1551.694144,800.39,"1,281.17","1,191.04",668.86K,0.86%
8/2/2024,1577.991465,796.22,"1,293.60","1,206.33",590.32K,1.26%
8/5/2024,1601.75479,787.78,"1,311.97","1,206.33",708.71K,-0.44%
8/6/2024,1558.615163,796.86,"1,322.35","1,224.11",817.69K,0.24%
8/7/2024,1551.93461,822.86,"1,332.44","1,232.41",789.52K,-0.78%
8/8/2024,1563.4634,827.54,"1,340.76","1,247.38",724.75K,1.24%
8/9/2024,1527.596826,838.01,"1,346.62","1,245.05",698.64K,1.26%
8/12/2024,1531.00381,840.65,"1,351.85","1,252.04",699.34K,0.07%
8/13/2024,1501.375025,845.11,"1,361.12","1,252.84",531.08K,-0.66%
8/14/2024,1485.067922,847.61,"1,370.35","1,253.89",564.07K,-1.08%
8/15/2024,1482.063629,844.19,"1,374.03","1,245.85",673.76K,0.95%
8/16/2024,1460.083498,849.96,"1,365.01","1,248.65",665.48K,0.38%
8/19/2024,1453.529428,854.29,"1,357.41","1,262.33",418.23K,-0.23%
8/20/2024,1467.219524,848.08,"1,372.33","1,271.11",557.89K,0.75%
8/21/2024,1468.105303,850.15,"1,379.70","1,271.97",816.99K,-0.79%
8/22/2024,1439.632411,847.19,"1,370.50","1,268.64",584.39K,-4.50%
8/23/2024,1433.265163,851.21,"1,374.85","1,263.45",583.96K,0.15%
8/26/2024,1446.479227,849.99,"1,374.85","1,255.83",566.36K,0.06%
8/27/2024,1447.889065,860.35,"1,329.43","1,253.45",496.73K,-0.67%
8/28/2024,1466.624372,870.92,"1,307.56","1,270.81",504.69K,1.44%
8/29/2024,1478.697367,873.62,"1,310.16","1,277.16",557.43K,-0.51%
8/30/2024,1458.00227,872.38,"1,316.26","1,280.05",528.48K,1.55%
9/4/2024,1475.029059,878.79,"1,313.20","1,249.17",655.24K,0.23%
9/5/2024,1472.287815,882.13,"1,329.62","1,270.80",541.91K,0.72%
9/6/2024,1474.320142,882.4,"1,336.14","1,274.99",607.22K,0.90%
9/9/2024,1441.280933,898.25,"1,338.02","1,275.35",587.23K,0.89%
9/10/2024,1417.733538,896.02,"1,348.36","1,277.40",591.09K,0.85%
9/11/2024,1398.164781,903.85,"1,353.66","1,243.17",573.63K,-0.19%
9/12/2024,1402.363101,891.61,"1,344.49","1,234.60",572.55K,-0.13%
9/13/2024,1447.239995,883.68,"1,345.59","1,228.54",473.81K,-1.44%
9/16/2024,1495.638995,895.29,"1,350.43","1,248.78",589.89K,1.78%
9/17/2024,1505.817091,888.82,"1,350.69","1,243.87",670.87K,-0.57%
9/18/2024,1519.654984,891.89,"1,349.13","1,228.51",584.57K,-1.18%
9/19/2024,1513.809689,896.61,"1,347.70","1,240.77",465.66K,0.29%
9/20/2024,1512.37296,897.43,"1,353.12","1,230.37",603.29K,-1.27%
9/23/2024,1475.299517,897.47,"1,356.45","1,202.07",733.45K,-0.03%
9/24/2024,1476.651913,896.08,"1,365.92","1,199.71",560.89K,1.21%
9/25/2024,1478.654247,904.5,"1,350.48","1,204.68",688.12K,-1.09%
9/26/2024,1495.649243,905.9,"1,350.71","1,196.64",561.69K,-1.62%
9/27/2024,1447.330827,908.97,"1,361.09","1,201.45",738.58K,-3.34%
9/30/2024,1463.668357,910.53,"1,356.97","1,159.12",669.55K,-1.32%
10/1/2024,1531.00381,910.78,"1,354.38","1,166.44",694.93K,1.40%
10/2/2024,1501.375025,911.2,"1,341.81","1,142.79",592.48K,-0.12%
10/3/2024,1485.067922,916.63,"1,340.90","1,126.07",440.78K,0.15%
10/4/2024,1482.063629,904.34,"1,348.89","1,099.44",478.69K,0.10%
10/7/2024,1460.083498,910.13,"1,344.06","1,079.86",526.96K,-3.22%
10/8/2024,1453.529428,914.09,"1,347.49","1,069.74",588.39K,0.95%
10/9/2024,1467.219524,913.77,"1,354.63","1,078.14",560.59K,-1.31%
10/10/2024,1468.105303,918.11,"1,362.82","1,072.57",510.22K,1.32%
10/11/2024,1439.632411,913.62,"1,367.64","1,022.38",534.07K,0.78%
10/14/2024,1433.265163,922.08,"1,373.18","1,012.94",442.82K,0.56%
10/15/2024,1446.479227,919.48,"1,394.64",998.64,612.00K,0.62%
10/16/2024,1447.889065,930.78,"1,400.78","1,002.89",556.46K,0.07%
10/17/2024,1466.624372,926.76,"1,400.67","1,025.04",411.79K,0.27%
10/18/2024,1478.697367,931.89,"1,398.67","1,050.99",641.48K,-1.15%
10/21/2024,1458.00227,945.28,"1,399.03","1,033.59",497.42K,-1.73%
10/22/2024,1475.029059,944.03,"1,402.63","1,051.58",514.84K,-1.63%
10/23/2024,1472.287815,945.01,"1,399.66","1,052.29",400.66K,-1.41%
10/24/2024,1474.320142,941,"1,401.76","1,048.21",398.33K,1.86%
10/25/2024,1441.280933,947.16,"1,398.45","1,013.69",742.10K,-1.31%
10/28/2024,1417.733538,938.06,"1,393.70",977.41,654.95K,1.13%
10/29/2024,1398.164781,953.45,"1,395.72",962.45,751.18K,-0.38%
10/30/2024,1402.363101,967.52,"1,393.03",984.71,448.28K,-4.19%
10/31/2024,1447.239995,950.8,"1,423.02",990.48,647.72K,0.49%
11/1/2024,1495.638995,942.82,"1,440.64","1,026.53",654.70K,-1.72%
11/4/2024,1505.817091,916.49,"1,447.62","1,005.00",662.04K,-1.36%
11/5/2024,1519.654984,925.41,"1,451.81","1,027.39",613.98K,1.12%
11/6/2024,1513.809689,926.09,"1,452.46","1,018.64",578.23K,3.44%
11/7/2024,1512.37296,936.73,"1,463.63","1,010.65",442.89K,0.12%
11/8/2024,1475.299517,935.41,"1,451.98",974.61,753.11K,1.20%
11/11/2024,1476.651913,940.32,"1,459.93",969.61,646.85K,-0.86%
11/12/2024,1478.654247,939.73,"1,470.49",956.97,660.72K,3.07%
11/13/2024,1495.649243,942.15,"1,474.20",977.93,583.06K,0.04%
11/14/2024,1447.330827,962.68,"1,470.19",935.78,698.76K,-1.10%
11/15/2024,1463.668357,954.46,"1,472.89",947.24,736.49K,-0.15%
11/18/2024,1449.691042,953.97,"1,474.98",923.53,666.06K,0.88%
11/19/2024,1436.246371,959.56,"1,481.96",900.17,692.34K,1.15%
11/20/2024,1404.131033,970.11,"1,476.97",873.78,1.05M,0.27%
11/21/2024,1464.055774,955.52,"1,477.04",942.9,724.46K,-2.16%
11/22/2024,1457.065048,969.48,"1,482.87",939.73,960.58K,0.22%
11/25/2024,1464.89539,975.32,"1,481.53",956.77,597.72K,0.62%
11/26/2024,1435.957329,984.71,"1,466.46",948.52,1.05M,0.30%
11/27/2024,1425.364307,991.87,"1,463.63",942.02,542.12K,-2.27%
11/28/2024,1443.98335,996.55,"1,491.05",934.31,543.14K,0.65%
11/29/2024,1464.681948,"1,000.39","1,505.36",947.71,622.50K,-0.69%
12/2/2024,1487.218518,999.24,"1,511.68",971.46,973.79K,0.68%
